"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2026-01-07T15:43:00.000Z","BUY",3,"ALB (Albemarle Corp)","STOCK",487.53,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2026-01-07T15:51:00.000Z","BUY",4,"RKLB (Rocket Lab Corp)","STOCK",338.32,"USD","Nasdaq",,,,,"XTB",,false,
"2026-01-12T20:39:00.000Z","BUY",2,"NEM (Newmont Corp)","STOCK",225.76,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2026-01-12T20:41:00.000Z","BUY",6,"KGC (Kinross Gold Corp)","STOCK",198.54,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2026-01-30T19:34:00.000Z","BUY",0.5,"SPOT (Spotify Technology SA)","STOCK",252.53,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2026-02-02T19:57:00.000Z","SELL",1,"GOOGL (Alphabet Inc)","STOCK",343.33,"USD","Nasdaq",,,,,"XTB",,false,
"2026-02-05T14:53:00.000Z","BUY",4,"RKLB (Rocket Lab Corp)","STOCK",288.36,"USD","Nasdaq",,,,,"XTB",,false,
"2026-02-09T16:36:00.000Z","BUY",0.5,"SNDK (Sandisk Corp)","STOCK",293.45,"USD","Nasdaq",,,,,"XTB",,false,
"2026-04-14T19:41:00.000Z","SELL",1,"ASML (ASML Holding NV)","STOCK",1512.62,"USD","Nasdaq",,,,,,,false,
"2026-04-14T19:49:00.000Z","SELL",1,"TSM (Taiwan Semiconductor Manufacturing Co Ltd)","STOCK",380.1,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2026-04-30T19:44:11.000Z","BUY",1,"MSFT (Microsoft Corp)","STOCK",408.71,"USD","Nasdaq",,,,,"XTB",,false,
"2026-05-04T19:26:00.000Z","BUY",0.24,"META (Meta Platforms Inc)","STOCK",146.7624,"USD","Nasdaq",,,,,"XTB",,false,
"2026-05-05T19:43:00.000Z","BUY",1,"MSFT (Microsoft Corp)","STOCK",412.1,"USD","Nasdaq",,,,,"XTB",,false,
"2026-05-27T19:22:00.000Z","BUY",3,"PLTR (Palantir Technologies Inc)","STOCK",398.94,"USD","Nasdaq",,,,,"XTB",,false,
"2026-05-27T19:22:00.000Z","BUY",1,"MSFT (Microsoft Corp)","STOCK",413.29,"USD","Nasdaq",,,,,"XTB",,false,
"2026-05-29T16:24:00.000Z","BUY",3,"HOOD (Robinhood Markets Inc)","STOCK",279.33,"USD","Nasdaq",,,,,"XTB",,false,
"2026-05-29T16:25:00.000Z","BUY",2,"NOW (ServiceNow Inc)","STOCK",246.98,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2026-06-01T17:57:00.000Z","BUY",2,"SAP (SAP SE)","STOCK",389.96,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2026-06-03T17:28:00.000Z","BUY",1,"AVGO (Broadcom Inc)","STOCK",484.25,"USD","Nasdaq",,,,,"XTB",,false,
"2026-06-08T14:23:00.000Z","BUY",2,"NVDA (NVIDIA Corp)","STOCK",414.34,"USD","Nasdaq",,,,,"XTB",,false,
"2026-06-10T13:41:00.000Z","BUY",1,"AVGO (Broadcom Inc)","STOCK",377.68,"USD","Nasdaq",,,,,"XTB",,false,
"2026-06-11T17:39:00.000Z","BUY",1,"SAP (SAP SE)","STOCK",163.59,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2026-06-12T16:15:00.000Z","BUY",1,"SPCX (Space Exploration Technologies Corp)","STOCK",164.65,"USD","Nasdaq",,,,,"XTB",,false,
"2026-06-12T17:09:00.000Z","BUY",1,"SPCX (Space Exploration Technologies Corp)","STOCK",176.49,"USD","Nasdaq",,,,,"XTB",,false,
"2026-06-12T19:34:00.000Z","BUY",1,"SPCX (Space Exploration Technologies Corp)","STOCK",161.5,"USD","Nasdaq",,,,,"XTB",,false,
"2026-06-15T16:18:00.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",245.7,"USD","Nasdaq",,,,,"XTB",,false,
"2026-06-22T18:22:00.000Z","BUY",3,"PLTR (Palantir Technologies Inc)","STOCK",362.76,"USD","Nasdaq",,,,,"XTB",,false,
"2026-06-22T19:20:00.000Z","BUY",1,"SPCX (Space Exploration Technologies Corp)","STOCK",160,"USD","Nasdaq",,,,,"XTB",,false,
"2026-06-23T13:31:00.000Z","BUY",1,"SPCX (Space Exploration Technologies Corp)","STOCK",150,"USD","Nasdaq",,,,,"XTB",,false,
