"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2021-11-22T14:37:00.000Z","BUY",1,"VOO (Vanguard S&P 500 ETF)","FUND",433.51,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2021-12-01T16:56:00.000Z","BUY",3,"SSM (Sono Group NV)","STOCK",43.5,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2022-01-18T15:17:00.000Z","SELL",2,"AA (Alcoa Corp)","STOCK",69.66,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2022-06-24T16:01:00.000Z","BUY",1,"BRK-B (Berkshire Hathaway Inc)","STOCK",278.56,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2022-07-08T13:34:00.000Z","BUY",2,"AMZN (Amazon.com Inc)","STOCK",230.29,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2022-07-08T13:34:00.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",115.15,"USD","Nasdaq",,,,,"Fio",,false,
"2022-07-08T13:36:00.000Z","BUY",1,"IVV (iShares Core S&P 500 ETF)","FUND",389.1,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2022-10-02T22:00:00.000Z","SELL",2,"CTXS (Citrix Systems Inc)","STOCK",208,"USD","Nasdaq",,,,,"Fio",,false,
"2022-10-30T23:00:00.000Z","SELL",12,"TWTR (Twitter Inc)","STOCK",650.4,"USD","New York Stock Exchange",,,,,"Fio",,false,
"2022-12-08T23:00:00.000Z","SELL",14,"FTCV (Fintech Acquisition Corp V)","STOCK",141.09998,"USD","Nasdaq",,,,,"Fio",,false,
"2023-11-08T14:36:00.000Z","SELL",1,"NOW (ServiceNow Inc)","STOCK",620.75,"USD","New York Stock Exchange",,,7.98,"USD","Fio",,false,
"2023-11-10T15:09:00.000Z","SELL",9,"UBER (Uber Technologies Inc)","STOCK",466.3400004,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2023-11-15T15:44:00.000Z","SELL",7,"PLTR (Palantir Technologies Inc)","STOCK",142.2599997,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2023-12-04T18:15:00.000Z","SELL",1,"SPOT (Spotify Technology SA)","STOCK",195.04,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2024-01-23T15:15:00.000Z","SELL",3,"DBX (Dropbox Inc)","STOCK",98.1200001,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2024-02-12T15:03:00.000Z","BUY",320,"VELO (Velo3D Inc)","STOCK",91.84,"USD","Nasdaq",,,9.95,"USD","Fio",,false,
"2024-03-19T23:00:00.000Z","SELL",4,"AYX (Alteryx Inc)","STOCK",193,"USD","New York Stock Exchange",,,,,"Fio",,false,
"2025-01-05T23:00:00.000Z","SELL",12,"SSM (Sono Group NV)","STOCK",0,"USD","Nasdaq",,,,,"Fio",,false,
"2025-06-23T14:05:00.000Z","SELL",2,"V (Visa Inc)","STOCK",676.52,"USD","New York Stock Exchange",,,7.98,"USD","Fio",,false,
"2025-10-13T17:27:00.000Z","SELL",4,"MU (Micron Technology Inc)","STOCK",764.42,"USD","Nasdaq",,,7.98,"USD","4",,false,
"2025-10-13T17:37:00.000Z","SELL",6,"NVDA (NVIDIA Corp)","STOCK",1131.3700002,"USD","Nasdaq",,,7.99,"USD","FIO",,false,
"2025-10-16T19:01:00.000Z","SELL",3,"AMD (Advanced Micro Devices Inc)","STOCK",712.02,"USD","Nasdaq",,,7.98,"USD","FIO",,false,
"2025-10-21T18:35:00.000Z","SELL",3,"AMD (Advanced Micro Devices Inc)","STOCK",717.5499999,"USD","Nasdaq",,,7.98,"USD","FIO",,false,
"2025-10-21T18:36:00.000Z","SELL",3,"AAPL (Apple Inc)","STOCK",790.5699999,"USD","Nasdaq",,,7.98,"USD","FIO",,false,
"2025-10-27T18:45:00.000Z","SELL",5,"HOOD (Robinhood Markets Inc)","STOCK",737.73,"USD","Nasdaq",,,7.98,"USD","XTB",,false,
"2026-02-03T16:12:00.000Z","SELL",1,"MU (Micron Technology Inc)","STOCK",424.21,"USD","Nasdaq",,,7.97,"USD","XTB",,false,
